,LATITUDE,LONGITUDE,COUNT
165,43.68,-79.59,10
166,43.68,-79.58,7
167,43.68,-79.56,5
168,43.68,-79.55,5
169,43.68,-79.54,10
170,43.68,-79.53,3
171,43.68,-79.52,9
172,43.68,-79.51,13
173,43.68,-79.5,4
174,43.68,-79.49,15
175,43.68,-79.48,20
176,43.68,-79.47,29
177,43.68,-79.46,18
178,43.68,-79.45,7
179,43.68,-79.44,20
180,43.68,-79.43,20
181,43.68,-79.42,15
182,43.68,-79.41,13
183,43.68,-79.4,7
184,43.68,-79.39,18
185,43.68,-79.38,5
186,43.68,-79.36,14
187,43.68,-79.35,10
188,43.68,-79.34,14
189,43.68,-79.33,12
190,43.68,-79.32,15
191,43.68,-79.31,20
192,43.68,-79.3,19
193,43.68,-79.29,7
194,43.68,-79.28,13
195,43.68,-79.27,8
196,43.68,-79.26,3
197,43.69,-79.59,1
198,43.69,-79.58,4
199,43.69,-79.57,15
200,43.69,-79.56,3
201,43.69,-79.55,9
202,43.69,-79.54,12
203,43.69,-79.53,7
204,43.69,-79.52,5
205,43.69,-79.51,7
206,43.69,-79.5,13
207,43.69,-79.49,4
208,43.69,-79.48,11
209,43.69,-79.47,14
210,43.69,-79.46,16
211,43.69,-79.45,13
212,43.69,-79.44,24
213,43.69,-79.43,11
214,43.69,-79.42,10
215,43.69,-79.4,9
216,43.69,-79.39,13
217,43.69,-79.38,9
218,43.69,-79.37,5
219,43.69,-79.36,3
220,43.69,-79.35,9
221,43.69,-79.34,13
222,43.69,-79.33,6
223,43.69,-79.32,12
224,43.69,-79.31,11
225,43.69,-79.3,6
226,43.69,-79.29,10
227,43.69,-79.28,13
228,43.69,-79.27,7
229,43.69,-79.26,6
230,43.69,-79.25,4
231,43.7,-79.6,1
232,43.7,-79.59,2
233,43.7,-79.58,1
234,43.7,-79.57,7
235,43.7,-79.56,8
236,43.7,-79.55,5
237,43.7,-79.54,1
238,43.7,-79.53,6
239,43.7,-79.52,5
240,43.7,-79.51,11
241,43.7,-79.5,19
242,43.7,-79.49,11
243,43.7,-79.48,6
244,43.7,-79.47,12
245,43.7,-79.46,2
246,43.7,-79.45,10
247,43.7,-79.44,6
248,43.7,-79.43,6
249,43.7,-79.42,23
250,43.7,-79.41,11
251,43.7,-79.4,14
252,43.7,-79.39,20
253,43.7,-79.38,9
254,43.7,-79.37,7
255,43.7,-79.36,7
256,43.7,-79.35,5
257,43.7,-79.34,8
258,43.7,-79.33,12
259,43.7,-79.32,1
260,43.7,-79.31,6
261,43.7,-79.3,4
262,43.7,-79.29,10
263,43.7,-79.28,3
264,43.7,-79.27,2
265,43.7,-79.26,8
266,43.7,-79.25,14
267,43.7,-79.24,1
268,43.7,-79.23,2
269,43.71,-79.6,7
270,43.71,-79.59,7
271,43.71,-79.58,7
272,43.71,-79.57,2
273,43.71,-79.56,6
274,43.71,-79.55,11
275,43.71,-79.54,1
276,43.71,-79.53,13
277,43.71,-79.52,5
278,43.71,-79.51,5
279,43.71,-79.5,10
280,43.71,-79.48,1
281,43.71,-79.47,5
282,43.71,-79.46,3
283,43.71,-79.45,7
284,43.71,-79.44,17
285,43.71,-79.43,8
286,43.71,-79.42,13
287,43.71,-79.41,10
288,43.71,-79.4,4
289,43.71,-79.39,12
290,43.71,-79.38,1
291,43.71,-79.37,10
292,43.71,-79.36,9
293,43.71,-79.35,9
294,43.71,-79.33,13
295,43.71,-79.32,7
296,43.71,-79.3,13
297,43.71,-79.29,9
298,43.71,-79.28,15
299,43.71,-79.27,4
300,43.71,-79.26,11
301,43.71,-79.25,9
302,43.71,-79.24,8
303,43.71,-79.23,3
304,43.72,-79.62,1
305,43.72,-79.61,4
306,43.72,-79.6,2
307,43.72,-79.59,4
308,43.72,-79.58,1
309,43.72,-79.57,11
310,43.72,-79.56,3
311,43.72,-79.55,7
312,43.72,-79.54,2
313,43.72,-79.53,2
314,43.72,-79.52,1
315,43.72,-79.51,3
316,43.72,-79.5,11
317,43.72,-79.49,11
318,43.72,-79.48,13
319,43.72,-79.47,5
320,43.72,-79.46,1
321,43.72,-79.45,10
322,43.72,-79.44,2
323,43.72,-79.43,11
324,43.72,-79.42,3
325,43.72,-79.41,17
326,43.72,-79.4,8
327,43.72,-79.39,4
328,43.72,-79.38,1
329,43.72,-79.35,1
330,43.72,-79.34,6
331,43.72,-79.33,15
332,43.72,-79.32,5
333,43.72,-79.31,8
334,43.72,-79.3,26
335,43.72,-79.29,12
336,43.72,-79.28,9
337,43.72,-79.27,4
338,43.72,-79.26,11
339,43.72,-79.25,8
340,43.72,-79.24,8
341,43.72,-79.23,6
342,43.72,-79.22,2
343,43.73,-79.62,1
344,43.73,-79.61,6
345,43.73,-79.6,21
346,43.73,-79.59,10
347,43.73,-79.58,4
348,43.73,-79.57,9
349,43.73,-79.56,12
350,43.73,-79.55,2
351,43.73,-79.54,1
352,43.73,-79.53,7
353,43.73,-79.52,2
354,43.73,-79.51,11
355,43.73,-79.5,2
356,43.73,-79.48,7
357,43.73,-79.46,4
358,43.73,-79.45,8
359,43.73,-79.44,9
360,43.73,-79.43,10
361,43.73,-79.42,6
362,43.73,-79.41,3
363,43.73,-79.4,4
364,43.73,-79.39,2
365,43.73,-79.38,4
366,43.73,-79.35,7
367,43.73,-79.34,11
368,43.73,-79.33,2
369,43.73,-79.3,7
370,43.73,-79.29,4
371,43.73,-79.28,3
372,43.73,-79.27,9
373,43.73,-79.26,13
374,43.73,-79.25,25
375,43.73,-79.24,21
376,43.73,-79.23,4
377,43.73,-79.22,4
378,43.73,-79.21,4
379,43.74,-79.63,3
380,43.74,-79.62,2
381,43.74,-79.61,6
382,43.74,-79.6,8
383,43.74,-79.59,12
384,43.74,-79.58,23
385,43.74,-79.57,1
386,43.74,-79.56,14
387,43.74,-79.55,6
388,43.74,-79.54,1
389,43.74,-79.53,1
390,43.74,-79.52,1
391,43.74,-79.51,9
392,43.74,-79.5,6
393,43.74,-79.49,5
394,43.74,-79.48,13
395,43.74,-79.46,3
396,43.74,-79.45,4
397,43.74,-79.44,3
398,43.74,-79.43,2
399,43.74,-79.41,1
400,43.74,-79.4,14
401,43.74,-79.39,3
402,43.74,-79.38,2
403,43.74,-79.37,1
404,43.74,-79.34,3
405,43.74,-79.33,7
406,43.74,-79.32,4
407,43.74,-79.31,11
408,43.74,-79.3,16
409,43.74,-79.29,14
410,43.74,-79.28,7
411,43.74,-79.27,10
412,43.74,-79.26,3
413,43.74,-79.25,4
414,43.74,-79.24,10
415,43.74,-79.23,8
416,43.74,-79.22,4
417,43.74,-79.21,13
418,43.74,-79.2,8
419,43.74,-79.19,1
420,43.75,-79.63,3
421,43.75,-79.62,2
422,43.75,-79.61,8
423,43.75,-79.6,6
424,43.75,-79.59,9
425,43.75,-79.58,3
426,43.75,-79.57,2
427,43.75,-79.56,5
428,43.75,-79.55,5
429,43.75,-79.54,16
430,43.75,-79.53,8
431,43.75,-79.52,10
432,43.75,-79.51,20
433,43.75,-79.5,5
434,43.75,-79.49,4
435,43.75,-79.48,8
436,43.75,-79.46,8
437,43.75,-79.45,12
438,43.75,-79.44,7
439,43.75,-79.43,17
440,43.75,-79.42,5
441,43.75,-79.41,6
442,43.75,-79.4,7
443,43.75,-79.38,2
444,43.75,-79.37,1
445,43.75,-79.36,2
446,43.75,-79.35,6
447,43.75,-79.34,7
448,43.75,-79.33,2
449,43.75,-79.32,4
450,43.75,-79.31,18
451,43.75,-79.3,8
452,43.75,-79.29,5
453,43.75,-79.28,3
454,43.75,-79.27,2
455,43.75,-79.26,11
456,43.75,-79.25,9
457,43.75,-79.24,17
458,43.75,-79.23,6
459,43.75,-79.22,12
460,43.75,-79.21,3
461,43.75,-79.2,1
462,43.75,-79.19,4
463,43.75,-79.17,1
464,43.76,-79.59,1
465,43.76,-79.58,3
466,43.76,-79.57,8
467,43.76,-79.56,2
468,43.76,-79.55,3
469,43.76,-79.54,2
470,43.76,-79.52,6
471,43.76,-79.51,3
472,43.76,-79.5,4
473,43.76,-79.49,18
474,43.76,-79.48,5
475,43.76,-79.47,2
476,43.76,-79.46,14
477,43.76,-79.45,2
478,43.76,-79.44,3
479,43.76,-79.42,2
480,43.76,-79.41,20
481,43.76,-79.4,6
482,43.76,-79.39,1
483,43.76,-79.38,15
484,43.76,-79.37,2
485,43.76,-79.36,6
486,43.76,-79.35,2
487,43.76,-79.34,7
488,43.76,-79.33,1
489,43.76,-79.32,5
490,43.76,-79.31,8
491,43.76,-79.3,10
492,43.76,-79.29,6
493,43.76,-79.28,20
494,43.76,-79.27,8
495,43.76,-79.26,1
496,43.76,-79.25,3
497,43.76,-79.24,2
498,43.76,-79.23,6
499,43.76,-79.22,8
500,43.76,-79.21,11
501,43.76,-79.2,6
502,43.76,-79.19,8
503,43.76,-79.18,21
504,43.76,-79.17,3
505,43.77,-79.54,4
506,43.77,-79.53,3
507,43.77,-79.52,11
508,43.77,-79.51,2
509,43.77,-79.5,4
510,43.77,-79.49,1
511,43.77,-79.47,2
512,43.77,-79.46,5
513,43.77,-79.45,2
514,43.77,-79.44,11
515,43.77,-79.43,5
516,43.77,-79.42,6
517,43.77,-79.41,19
518,43.77,-79.4,4
519,43.77,-79.39,2
520,43.77,-79.38,4
521,43.77,-79.37,5
522,43.77,-79.36,3
523,43.77,-79.35,5
524,43.77,-79.34,19
525,43.77,-79.33,7
526,43.77,-79.32,11
527,43.77,-79.31,8
528,43.77,-79.3,13
529,43.77,-79.29,5
530,43.77,-79.28,11
531,43.77,-79.27,6
532,43.77,-79.26,12
533,43.77,-79.25,21
534,43.77,-79.24,4
535,43.77,-79.23,18
536,43.77,-79.22,7
537,43.77,-79.21,6
538,43.77,-79.2,1
539,43.77,-79.18,10
540,43.77,-79.17,9
541,43.77,-79.16,3
542,43.77,-79.15,2
543,43.77,-79.14,3
544,43.77,-79.13,1
545,43.78,-79.49,12
546,43.78,-79.48,5
547,43.78,-79.47,7
548,43.78,-79.46,3
549,43.78,-79.45,1
550,43.78,-79.44,12
551,43.78,-79.43,3
552,43.78,-79.41,23
553,43.78,-79.4,15
554,43.78,-79.39,7
555,43.78,-79.38,2
556,43.78,-79.37,2
557,43.78,-79.36,4
558,43.78,-79.35,7
559,43.78,-79.34,3
560,43.78,-79.33,3
561,43.78,-79.32,8
562,43.78,-79.31,7
563,43.78,-79.3,6
564,43.78,-79.29,12
565,43.78,-79.28,15
566,43.78,-79.27,7
567,43.78,-79.26,8
568,43.78,-79.25,13
569,43.78,-79.24,4
570,43.78,-79.23,12
571,43.78,-79.22,1
572,43.78,-79.21,1
573,43.78,-79.2,6
574,43.78,-79.19,1
575,43.78,-79.18,3
576,43.78,-79.17,5
577,43.78,-79.16,7
578,43.78,-79.15,3
579,43.78,-79.14,2
580,43.78,-79.13,4
581,43.79,-79.45,4
582,43.79,-79.44,9
583,43.79,-79.43,3
584,43.79,-79.42,18
585,43.79,-79.41,15
586,43.79,-79.4,1
587,43.79,-79.39,4
588,43.79,-79.38,2
589,43.79,-79.37,2
590,43.79,-79.36,6
591,43.79,-79.35,23
592,43.79,-79.34,2
593,43.79,-79.33,11
594,43.79,-79.32,8
595,43.79,-79.31,20
596,43.79,-79.3,5
597,43.79,-79.29,5
598,43.79,-79.28,3
599,43.79,-79.27,6
600,43.79,-79.26,2
601,43.79,-79.25,3
602,43.79,-79.24,5
603,43.79,-79.23,12
604,43.79,-79.22,5
605,43.79,-79.21,8
606,43.79,-79.2,5
607,43.79,-79.19,5
608,43.79,-79.18,1
609,43.79,-79.17,3
610,43.79,-79.15,1
611,43.79,-79.14,9
612,43.79,-79.13,1
613,43.79,-79.12,1
614,43.8,-79.4,4
615,43.8,-79.39,2
616,43.8,-79.38,5
617,43.8,-79.37,4
618,43.8,-79.36,4
619,43.8,-79.35,4
620,43.8,-79.33,9
621,43.8,-79.32,6
622,43.8,-79.31,6
623,43.8,-79.3,6
624,43.8,-79.29,12
625,43.8,-79.28,13
626,43.8,-79.27,7
627,43.8,-79.26,14
628,43.8,-79.25,4
629,43.8,-79.24,1
630,43.8,-79.23,2
631,43.8,-79.22,10
632,43.8,-79.21,5
633,43.8,-79.2,4
634,43.8,-79.19,16
635,43.8,-79.18,2
636,43.8,-79.17,11
637,43.8,-79.16,4
638,43.8,-79.15,2
639,43.8,-79.14,2
640,43.81,-79.36,5
641,43.81,-79.35,3
642,43.81,-79.34,2
643,43.81,-79.33,7
644,43.81,-79.32,13
645,43.81,-79.31,6
646,43.81,-79.3,6
647,43.81,-79.29,9
648,43.81,-79.28,4
649,43.81,-79.27,8
650,43.81,-79.26,10
651,43.81,-79.25,5
652,43.81,-79.24,8
653,43.81,-79.23,8
654,43.81,-79.22,10
655,43.81,-79.21,14
656,43.81,-79.2,2
657,43.81,-79.16,1
658,43.81,-79.15,5
659,43.82,-79.32,1
660,43.82,-79.31,13
661,43.82,-79.3,9
662,43.82,-79.29,13
663,43.82,-79.28,5
664,43.82,-79.27,8
665,43.82,-79.26,6
666,43.82,-79.25,1
667,43.82,-79.24,7
668,43.82,-79.23,2
669,43.82,-79.22,1
670,43.82,-79.19,4
671,43.83,-79.27,5
672,43.83,-79.26,2
673,43.83,-79.25,11
674,43.83,-79.24,5
675,43.83,-79.23,2
676,43.83,-79.22,2
677,43.83,-79.18,1
678,43.83,-79.15,1
679,43.84,-79.23,2
680,43.84,-79.22,3
681,43.84,-79.21,1
682,43.84,-79.2,1
683,43.84,-79.19,2
684,43.85,-79.19,1
685,43.85,-79.18,1
686,43.85,-79.17,5
687,43.85,-79.16,1
