X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,ObjectId
-8814198.24417294,5430633.95154381,5389224,1051391,2008,2008/08/01 04:00:00+00,2110,21,KINGSTON RD,ORCHARD PARK DR,<Null>,Major Arterial,Scarborough,25,43,43.774645,-79.17929,Intersection,<Null>,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,15 to 19,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Speed too Fast For Condition,"Ability Impaired, Alcohol",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,Yes,<Null>,D43,136,West Hill (136),11
-8814198.24417294,5430633.95154381,5389225,1051391,2008,2008/08/01 04:00:00+00,2110,21,KINGSTON RD,ORCHARD PARK DR,<Null>,Major Arterial,Scarborough,25,43,43.774645,-79.17929,Intersection,<Null>,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,15 to 19,None,<Null>,North,Other,<Null>,<Null>,<Null>,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Normal,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,Yes,<Null>,D43,136,West Hill (136),12
-8814198.24417294,5430633.95154381,5389226,1051391,2008,2008/08/01 04:00:00+00,2110,21,KINGSTON RD,ORCHARD PARK DR,<Null>,Major Arterial,Scarborough,25,43,43.774645,-79.17929,Intersection,<Null>,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,15 to 19,None,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,Yes,<Null>,D43,136,West Hill (136),13
-8814198.24417294,5430633.95154381,5389227,1051391,2008,2008/08/01 04:00:00+00,2110,21,KINGSTON RD,ORCHARD PARK DR,<Null>,Major Arterial,Scarborough,25,43,43.774645,-79.17929,Intersection,<Null>,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,40 to 44,Major,<Null>,North,Other,<Null>,<Null>,<Null>,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Normal,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,Yes,<Null>,D43,136,West Hill (136),14
-8836072.52411382,5410521.55638126,5399133,1055774,2008,2008/08/01 04:00:00+00,2307,23,LAKE SHORE W BLVD E,YONGE ST,<Null>,Major Arterial,Toronto and East York,10,"51,52",43.644045,-79.37579,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,15 to 19,Minor,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,Yes,<Null>,D52,77,Waterfront Communities-The Island (77),15
-8836072.52411382,5410521.55638126,5399134,1055774,2008,2008/08/01 04:00:00+00,2307,23,LAKE SHORE W BLVD E,YONGE ST,<Null>,Major Arterial,Toronto and East York,10,"51,52",43.644045,-79.37579,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,20 to 24,Minor,<Null>,West,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,Yes,<Null>,D52,77,Waterfront Communities-The Island (77),16
-8836072.52411382,5410521.55638126,5399135,1055774,2008,2008/08/01 04:00:00+00,2307,23,LAKE SHORE W BLVD E,YONGE ST,<Null>,Major Arterial,Toronto and East York,10,"51,52",43.644045,-79.37579,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,Yes,<Null>,D52,77,Waterfront Communities-The Island (77),17
-8836072.52411382,5410521.55638126,5399136,1055774,2008,2008/08/01 04:00:00+00,2307,23,LAKE SHORE W BLVD E,YONGE ST,<Null>,Major Arterial,Toronto and East York,10,"51,52",43.644045,-79.37579,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,15 to 19,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Following too Close,"Ability Impaired, Alcohol Over .08",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,Yes,<Null>,D52,77,Waterfront Communities-The Island (77),18
-8836072.52411382,5410521.55638126,5399137,1055774,2008,2008/08/01 04:00:00+00,2307,23,LAKE SHORE W BLVD E,YONGE ST,<Null>,Major Arterial,Toronto and East York,10,"51,52",43.644045,-79.37579,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Major,<Null>,Unknown,Other,<Null>,<Null>,<Null>,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,Yes,<Null>,D52,77,Waterfront Communities-The Island (77),19
-8829771.84093492,5416723.08182604,5407636,1059312,2008,2008/08/07 04:00:00+00,151,1,DANFORTH Aven,BASTEDO Aven,<Null>,Major Arterial,Toronto and East York,19,"54,55",43.684345,-79.31919,Intersection,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Sideswipe,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,D54,66,Danforth (66),20
-8829771.84093492,5416723.08182604,5407637,1059312,2008,2008/08/07 04:00:00+00,151,1,DANFORTH Aven,BASTEDO Aven,<Null>,Major Arterial,Toronto and East York,19,"54,55",43.684345,-79.31919,Intersection,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Sideswipe,Motorcycle Driver,45 to 49,Major,<Null>,West,Motorcycle,Pulling Away from Shoulder or Curb,Lost control,"Ability Impaired, Alcohol Over .08",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,D54,66,Danforth (66),21
-8829771.84093492,5416723.08182604,5407638,1059312,2008,2008/08/07 04:00:00+00,151,1,DANFORTH Aven,BASTEDO Aven,<Null>,Major Arterial,Toronto and East York,19,"54,55",43.684345,-79.31919,Intersection,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Sideswipe,Vehicle Owner,unknown,<Null>,<Null>,<Null>,"Automobile, Station Wagon",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,D54,66,Danforth (66),22
-8829771.84093492,5416723.08182604,5407639,1059312,2008,2008/08/07 04:00:00+00,151,1,DANFORTH Aven,BASTEDO Aven,<Null>,Major Arterial,Toronto and East York,19,"54,55",43.684345,-79.31919,Intersection,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Sideswipe,Driver,35 to 39,None,<Null>,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,D54,66,Danforth (66),23
-8855208.34458118,5409644.75345646,5404699,1058134,2008,2008/08/23 04:00:00+00,220,2,SHAVER Aven S,BLOOR Stre W,<Null>,Collector,Etobicoke York,3,22,43.638345,-79.54769,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,Yes,<Null>,D22,14,Islington-City Centre West (14),24
-8855208.34458118,5409644.75345646,5404700,1058134,2008,2008/08/23 04:00:00+00,220,2,SHAVER Aven S,BLOOR Stre W,<Null>,Collector,Etobicoke York,3,22,43.638345,-79.54769,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Driver,25 to 29,Major,<Null>,South,"Automobile, Station Wagon",Going Ahead,Lost control,"Ability Impaired, Alcohol",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,Yes,<Null>,D22,14,Islington-City Centre West (14),25
-8831797.85566735,5412198.48138235,5418919,1064349,2008,2008/08/26 04:00:00+00,235,2,CARLAW Aven,LAKE SHORE Boul E,<Null>,Major Arterial,Toronto and East York,14,55,43.654945,-79.33739,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,30 to 34,Major,<Null>,South,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,"Ability Impaired, Alcohol",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,Yes,Yes,<Null>,D55,70,South Riverdale (70),26
-8831797.85566735,5412198.48138235,5418920,1064349,2008,2008/08/26 04:00:00+00,235,2,CARLAW Aven,LAKE SHORE Boul E,<Null>,Major Arterial,Toronto and East York,14,55,43.654945,-79.33739,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Passenger,25 to 29,Major,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,Yes,Yes,<Null>,D55,70,South Riverdale (70),27
-8831797.85566735,5412198.48138235,5418921,1064349,2008,2008/08/26 04:00:00+00,235,2,CARLAW Aven,LAKE SHORE Boul E,<Null>,Major Arterial,Toronto and East York,14,55,43.654945,-79.33739,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,Major,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,Yes,Yes,<Null>,D55,70,South Riverdale (70),28
-8831797.85566735,5412198.48138235,5418922,1064349,2008,2008/08/26 04:00:00+00,235,2,CARLAW Aven,LAKE SHORE Boul E,<Null>,Major Arterial,Toronto and East York,14,55,43.654945,-79.33739,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Angle,Driver,25 to 29,Major,<Null>,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,Yes,Yes,<Null>,D55,70,South Riverdale (70),29
-8837007.60783648,5413567.93946658,5406739,1058925,2008,2008/09/04 04:00:00+00,2334,23,YONGE Stre,BREADALBANE Stre,<Null>,Major Arterial,Toronto and East York,13,"51,52",43.663845,-79.38419,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,D52,75,Church-Yonge Corridor (75),30
-8837007.60783648,5413567.93946658,5406740,1058925,2008,2008/09/04 04:00:00+00,2334,23,YONGE Stre,BREADALBANE Stre,<Null>,Major Arterial,Toronto and East York,13,"51,52",43.663845,-79.38419,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,20 to 24,None,<Null>,East,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,"Ability Impaired, Alcohol Over .08",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,D52,75,Church-Yonge Corridor (75),31
-8837007.60783648,5413567.93946658,5406741,1058925,2008,2008/09/04 04:00:00+00,2334,23,YONGE Stre,BREADALBANE Stre,<Null>,Major Arterial,Toronto and East York,13,"51,52",43.663845,-79.38419,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,35 to 39,Major,<Null>,East,Other,<Null>,<Null>,<Null>,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Had Been Drinking,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,D52,75,Church-Yonge Corridor (75),32
-8841783.21399151,5420356.67866508,5421518,1065436,2008,2008/09/21 04:00:00+00,2021,20,BATHURST ST,BRIAR HILL AVE,<Null>,Major Arterial,North York,8,"53,13",43.707945,-79.42709,Intersection,<Null>,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,Driver,65 to 69,Major,<Null>,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,D13,102,Forest Hill North (102),33
-8841783.21399151,5420356.67866508,5421519,1065436,2008,2008/09/21 04:00:00+00,2021,20,BATHURST ST,BRIAR HILL AVE,<Null>,Major Arterial,North York,8,"53,13",43.707945,-79.42709,Intersection,<Null>,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,Driver,80 to 84,None,<Null>,West,"Automobile, Station Wagon",Turning Right,Improper Turn,"Ability Impaired, Alcohol",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,D13,102,Forest Hill North (102),34
-8845334.30574782,5429308.20265778,5418418,1064139,2008,2008/09/25 04:00:00+00,2110,21,WILMINGTON AVE,EVANSTON DR,<Null>,Minor Arterial,North York,6,32,43.766045,-79.45899,Intersection,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Driver,50 to 54,None,<Null>,South,"Automobile, Station Wagon",Going Ahead,Following too Close,"Ability Impaired, Alcohol Over .08",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,Yes,<Null>,D32,34,Bathurst Manor (34),35
-8845334.30574782,5429308.20265778,5418419,1064139,2008,2008/09/25 04:00:00+00,2110,21,WILMINGTON AVE,EVANSTON DR,<Null>,Minor Arterial,North York,6,32,43.766045,-79.45899,Intersection,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Passenger,25 to 29,Major,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,Yes,<Null>,D32,34,Bathurst Manor (34),36
-8845334.30574782,5429308.20265778,5418420,1064139,2008,2008/09/25 04:00:00+00,2110,21,WILMINGTON AVE,EVANSTON DR,<Null>,Minor Arterial,North York,6,32,43.766045,-79.45899,Intersection,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Driver,25 to 29,Minor,<Null>,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,Yes,<Null>,D32,34,Bathurst Manor (34),37
-8833534.43972373,5418647.47829285,5412649,1061541,2008,2008/09/29 04:00:00+00,412,4,DON VALLEY PARKWAY  S,BEECHWOOD DR,<Null>,<Null>,Toronto and East York,14,54,43.696845,-79.35299,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Passenger,50 to 54,Major,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,Yes,<Null>,D54,57,Broadview North (57),38
-8833534.43972373,5418647.47829285,5412650,1061541,2008,2008/09/29 04:00:00+00,412,4,DON VALLEY PARKWAY  S,BEECHWOOD DR,<Null>,<Null>,Toronto and East York,14,54,43.696845,-79.35299,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Driver,50 to 54,Minor,<Null>,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,Yes,<Null>,D54,57,Broadview North (57),39
-8833534.43972373,5418647.47829285,5412651,1061541,2008,2008/09/29 04:00:00+00,412,4,DON VALLEY PARKWAY  S,BEECHWOOD DR,<Null>,<Null>,Toronto and East York,14,54,43.696845,-79.35299,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,Yes,<Null>,D54,57,Broadview North (57),40
-8833534.43972373,5418647.47829285,5412652,1061541,2008,2008/09/29 04:00:00+00,412,4,DON VALLEY PARKWAY  S,BEECHWOOD DR,<Null>,<Null>,Toronto and East York,14,54,43.696845,-79.35299,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Driver,20 to 24,Minor,<Null>,North,"Automobile, Station Wagon",Going Ahead,Wrong Way on One Way Road,"Ability Impaired, Alcohol Over .08",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,Yes,<Null>,D54,57,Broadview North (57),41
