X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,ObjectId
-8825853.39485899,5426472.35666185,5302058,1132060,2009,2009/09/25 04:00:00+00,2315,23,LAWRENCE AVE E,BIRCHMOUNT RD,<Null>,Major Arterial,Scarborough,21,41,43.747645,-79.28399,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,None,<Null>,East,Municipal Transit Bus (TTC),Pulling Away from Shoulder or Curb,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D41,126,Dorset Park (126),11
-8845790.71566007,5415091.50779364,5304054,1133805,2009,2009/10/06 04:00:00+00,701,7,OLD WESTON RD,ST CLAIR AVE W,<Null>,Major Arterial,Toronto and East York,9,"12,11",43.673745,-79.46309,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D12,91,Weston-Pellam Park (91),12
-8845790.71566007,5415091.50779364,5304055,1133805,2009,2009/10/06 04:00:00+00,701,7,OLD WESTON RD,ST CLAIR AVE W,<Null>,Major Arterial,Toronto and East York,9,"12,11",43.673745,-79.46309,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,20 to 24,None,<Null>,North,Municipal Transit Bus (TTC),Pulling Away from Shoulder or Curb,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D12,91,Weston-Pellam Park (91),13
-8845790.71566007,5415091.50779364,5304056,1133805,2009,2009/10/06 04:00:00+00,701,7,OLD WESTON RD,ST CLAIR AVE W,<Null>,Major Arterial,Toronto and East York,9,"12,11",43.673745,-79.46309,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,65 to 69,Major,<Null>,Unknown,Other,<Null>,<Null>,<Null>,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Running onto Roadway,Inattentive,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D12,91,Weston-Pellam Park (91),14
-8859560.9366712,5425409.1391685,5860623,1132126,2009,2009/10/21 04:00:00+00,2023,20,1549 ALBION RD,<Null>,<Null>,Major Arterial,Etobicoke York,1,23,43.740745,-79.58679,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D23,2,Mount Olive-Silverstone-Jamestown (2),15
-8859560.9366712,5425409.1391685,5860624,1132126,2009,2009/10/21 04:00:00+00,2023,20,1549 ALBION RD,<Null>,<Null>,Major Arterial,Etobicoke York,1,23,43.740745,-79.58679,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,None,<Null>,East,Municipal Transit Bus (TTC),Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D23,2,Mount Olive-Silverstone-Jamestown (2),16
-8859560.9366712,5425409.1391685,5860625,1132126,2009,2009/10/21 04:00:00+00,2023,20,1549 ALBION RD,<Null>,<Null>,Major Arterial,Etobicoke York,1,23,43.740745,-79.58679,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,40 to 44,Major,<Null>,South,Other,<Null>,<Null>,<Null>,Pedestrian involved in a collision with transit vehicle anywhere along roadway,"Crossing, no Traffic Control",Had Been Drinking,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D23,2,Mount Olive-Silverstone-Jamestown (2),17
-8852024.82978347,5403816.7433337,5860657,1133598,2009,2009/10/28 04:00:00+00,707,7,BIRMINGHAM ST,NINETEENTH ST,<Null>,Collector,Etobicoke York,3,22,43.600444,-79.519092,Intersection,<Null>,No Control,Rain,"Dawn, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,5 to 9,None,<Null>,North,Other,<Null>,<Null>,<Null>,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Inattentive,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D22,18,New Toronto (18),18
-8852024.82978347,5403816.7433337,5860658,1133598,2009,2009/10/28 04:00:00+00,707,7,BIRMINGHAM ST,NINETEENTH ST,<Null>,Collector,Etobicoke York,3,22,43.600444,-79.519092,Intersection,<Null>,No Control,Rain,"Dawn, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,30 to 34,None,<Null>,North,Other,<Null>,<Null>,<Null>,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Inattentive,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D22,18,New Toronto (18),19
-8852024.82978347,5403816.7433337,5860659,1133598,2009,2009/10/28 04:00:00+00,707,7,BIRMINGHAM ST,NINETEENTH ST,<Null>,Collector,Etobicoke York,3,22,43.600444,-79.519092,Intersection,<Null>,No Control,Rain,"Dawn, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,5 to 9,Major,<Null>,North,Other,<Null>,<Null>,<Null>,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Inattentive,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D22,18,New Toronto (18),20
-8852024.82978347,5403816.7433337,5860660,1133598,2009,2009/10/28 04:00:00+00,707,7,BIRMINGHAM ST,NINETEENTH ST,<Null>,Collector,Etobicoke York,3,22,43.600444,-79.519092,Intersection,<Null>,No Control,Rain,"Dawn, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D22,18,New Toronto (18),21
-8852024.82978347,5403816.7433337,5860661,1133598,2009,2009/10/28 04:00:00+00,707,7,BIRMINGHAM ST,NINETEENTH ST,<Null>,Collector,Etobicoke York,3,22,43.600444,-79.519092,Intersection,<Null>,No Control,Rain,"Dawn, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,None,<Null>,West,Municipal Transit Bus (TTC),Going Ahead,Driving Properly,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D22,18,New Toronto (18),22
-8837675.52478124,5420433.67712209,6098470,1148390,2010,2010/01/18 05:00:00+00,655,6,MOUNT PLEASANT RD,EGLINTON AVE E,<Null>,Major Arterial,North York,"12,15",53,43.708445,-79.39019,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D53,99,Mount Pleasant East (99),23
-8837675.52478124,5420433.67712209,6098471,1148390,2010,2010/01/18 05:00:00+00,655,6,MOUNT PLEASANT RD,EGLINTON AVE E,<Null>,Major Arterial,North York,"12,15",53,43.708445,-79.39019,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Driver,50 to 54,None,<Null>,South,Municipal Transit Bus (TTC),Turning Right,Failed to Yield Right of Way,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D53,99,Mount Pleasant East (99),24
-8837675.52478124,5420433.67712209,6098472,1148390,2010,2010/01/18 05:00:00+00,655,6,MOUNT PLEASANT RD,EGLINTON AVE E,<Null>,Major Arterial,North York,"12,15",53,43.708445,-79.39019,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,60 to 64,Fatal,4,South,Other,<Null>,<Null>,<Null>,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Crossing with right of way,Normal,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D53,99,Mount Pleasant East (99),25
-8833356.32853846,5412752.3950356,6099925,1149557,2010,2010/01/24 05:00:00+00,32,0,QUEEN ST E,MUNRO ST,<Null>,Major Arterial,Toronto and East York,14,55,43.658545,-79.35139,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D55,70,South Riverdale (70),26
-8833356.32853846,5412752.3950356,6099926,1149557,2010,2010/01/24 05:00:00+00,32,0,QUEEN ST E,MUNRO ST,<Null>,Major Arterial,Toronto and East York,14,55,43.658545,-79.35139,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Driver,50 to 54,None,<Null>,East,Municipal Transit Bus (TTC),Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D55,70,South Riverdale (70),27
-8833356.32853846,5412752.3950356,6099927,1149557,2010,2010/01/24 05:00:00+00,32,0,QUEEN ST E,MUNRO ST,<Null>,Major Arterial,Toronto and East York,14,55,43.658545,-79.35139,Intersection,At Intersection,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,35 to 39,Fatal,7,North,Other,<Null>,<Null>,<Null>,Pedestrian involved in a collision with transit vehicle anywhere along roadway,"Crossing, no Traffic Control",Inattentive,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D55,70,South Riverdale (70),28
-8842250.75585284,5416138.14478252,6099928,1149558,2010,2010/01/24 05:00:00+00,1503,15,ST CLAIR Aven W,HENDRICK Aven,<Null>,Major Arterial,Toronto and East York,12,13,43.680545,-79.43129,Intersection,<Null>,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D13,94,Wychwood (94),29
-8842250.75585284,5416138.14478252,6099929,1149558,2010,2010/01/24 05:00:00+00,1503,15,ST CLAIR Aven W,HENDRICK Aven,<Null>,Major Arterial,Toronto and East York,12,13,43.680545,-79.43129,Intersection,<Null>,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Turning Movement,Driver,45 to 49,None,<Null>,West,Municipal Transit Bus (TTC),Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D13,94,Wychwood (94),30
-8842250.75585284,5416138.14478252,6099930,1149558,2010,2010/01/24 05:00:00+00,1503,15,ST CLAIR Aven W,HENDRICK Aven,<Null>,Major Arterial,Toronto and East York,12,13,43.680545,-79.43129,Intersection,<Null>,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Turning Movement,Driver,35 to 39,Major,<Null>,West,"Automobile, Station Wagon",Turning Left,Disobeyed Traffic Control,Fatigue,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D13,94,Wychwood (94),31
-8833857.26624703,5413691.04676682,6120127,1158874,2010,2010/03/24 04:00:00+00,42,0,GERRARD ST E,DON VALLEY PARKWAY Stre S,<Null>,Minor Arterial,Toronto and East York,14,55,43.664645,-79.35589,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D55,68,North Riverdale (68),32
-8833857.26624703,5413691.04676682,6120128,1158874,2010,2010/03/24 04:00:00+00,42,0,GERRARD ST E,DON VALLEY PARKWAY Stre S,<Null>,Minor Arterial,Toronto and East York,14,55,43.664645,-79.35589,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,40 to 44,Major,<Null>,Unknown,Other,<Null>,<Null>,<Null>,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Playing or Working on Highway,Normal,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D55,68,North Riverdale (68),33
-8833857.26624703,5413691.04676682,6120129,1158874,2010,2010/03/24 04:00:00+00,42,0,GERRARD ST E,DON VALLEY PARKWAY Stre S,<Null>,Minor Arterial,Toronto and East York,14,55,43.664645,-79.35589,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,Major,<Null>,West,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D55,68,North Riverdale (68),34
-8833857.26624703,5413691.04676682,6120130,1158874,2010,2010/03/24 04:00:00+00,42,0,GERRARD ST E,DON VALLEY PARKWAY Stre S,<Null>,Minor Arterial,Toronto and East York,14,55,43.664645,-79.35589,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D55,68,North Riverdale (68),35
-8833857.26624703,5413691.04676682,6120131,1158874,2010,2010/03/24 04:00:00+00,42,0,GERRARD ST E,DON VALLEY PARKWAY Stre S,<Null>,Minor Arterial,Toronto and East York,14,55,43.664645,-79.35589,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,None,<Null>,West,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D55,68,North Riverdale (68),36
-8833857.26624703,5413691.04676682,6120132,1158874,2010,2010/03/24 04:00:00+00,42,0,GERRARD ST E,DON VALLEY PARKWAY Stre S,<Null>,Minor Arterial,Toronto and East York,14,55,43.664645,-79.35589,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,<Null>,<Null>,<Null>,"Automobile, Station Wagon",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D55,68,North Riverdale (68),37
-8833857.26624703,5413691.04676682,6120133,1158874,2010,2010/03/24 04:00:00+00,42,0,GERRARD ST E,DON VALLEY PARKWAY Stre S,<Null>,Minor Arterial,Toronto and East York,14,55,43.664645,-79.35589,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,60 to 64,None,<Null>,West,Municipal Transit Bus (TTC),Going Ahead,Following too Close,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D55,68,North Riverdale (68),38
-8844076.39550185,5409444.79250829,6129924,1163084,2010,2010/04/16 04:00:00+00,1643,16,LAKE SHORE BLVD W,BUDAPEST LANE,<Null>,Major Arterial,Toronto and East York,4,11,43.637045,-79.44769,Intersection,<Null>,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,<Null>,<Null>,<Null>,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D11,85,South Parkdale (85),39
-8844076.39550185,5409444.79250829,6129925,1163084,2010,2010/04/16 04:00:00+00,1643,16,LAKE SHORE BLVD W,BUDAPEST LANE,<Null>,Major Arterial,Toronto and East York,4,11,43.637045,-79.44769,Intersection,<Null>,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,None,<Null>,East,Municipal Transit Bus (TTC),Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D11,85,South Parkdale (85),40
-8844076.39550185,5409444.79250829,6129926,1163084,2010,2010/04/16 04:00:00+00,1643,16,LAKE SHORE BLVD W,BUDAPEST LANE,<Null>,Major Arterial,Toronto and East York,4,11,43.637045,-79.44769,Intersection,<Null>,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,55 to 59,Major,<Null>,North,Other,<Null>,<Null>,<Null>,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Running onto Roadway,Unknown,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D11,85,South Parkdale (85),41
