Latitude,Longitude,PercentOfVehicles,AvgAcceleration,PercentCar,PercentMPV,PercentLDT,PercentMDT,PercentHDT,PercentOther
43.8,-79.319,0.153,0.58,0.034,0.297,0.451,0.024,0.094,0.101
43.637,-79.489,0.1,0.73,0.008,0.332,0.227,0.045,0.263,0.125
43.676,-79.552,0.082,0.358,0.013,0.559,0.348,0.011,0.005,0.065
43.789,-79.13,0.081,0.601,0.011,0.754,0.054,0.084,0.011,0.085
43.812,-79.299,0.009,0.166,0.027,0.228,0.263,0.041,0.321,0.121
43.622,-79.508,0.012,0.641,0.017,0.184,0.336,0.095,0.249,0.119
43.673,-79.433,0.016,0.346,0.004,0.325,0.272,0.103,0.079,0.216
43.678,-79.553,0.052,0.335,0.012,0.528,0.217,0.17,0.016,0.055
43.685,-79.356,0.058,0.636,0.012,0.334,0.304,0.074,0.177,0.099
43.646,-79.516,0.074,0.667,0.03,0.244,0.299,0.063,0.229,0.134
43.655,-79.6,0.026,0.297,0.093,0.339,0.325,0.016,0.153,0.074
43.806,-79.237,0.101,0.791,0.001,0.033,0.044,0.018,0.707,0.197
43.67,-79.519,0.066,0.744,0.036,0.298,0.206,0.027,0.3,0.133
43.619,-79.498,0.01,0.468,0.003,0.226,0.243,0.081,0.342,0.105
43.809,-79.35,0.035,0.452,0.005,0.487,0.191,0.08,0.152,0.086
43.676,-79.569,0.108,0.512,0.003,0.341,0.381,0.051,0.107,0.118
43.681,-79.51,0.096,0.54,0.007,0.228,0.27,0.031,0.309,0.154
43.798,-79.27,0.067,0.527,0.008,0.277,0.399,0.112,0.106,0.099
43.82,-79.294,0.081,0.569,0.029,0.468,0.21,0.061,0.164,0.067
43.792,-79.251,0.063,0.596,0.039,0.159,0.321,0.058,0.248,0.175
43.672,-79.426,0.034,0.243,0.011,0.383,0.287,0.074,0.123,0.121
43.658,-79.342,0.027,0.489,0.04,0.281,0.332,0.099,0.128,0.12
43.671,-79.391,0.036,0.369,0.069,0.217,0.248,0.098,0.148,0.22
43.617,-79.534,0.023,0.216,0.035,0.342,0.295,0.077,0.162,0.09
43.637,-79.519,0.059,0.62,0.003,0.427,0.177,0.085,0.178,0.13
43.685,-79.449,0.037,0.363,0.016,0.175,0.495,0.074,0.105,0.135
43.634,-79.521,0.133,0.523,0.071,0.326,0.148,0.036,0.196,0.224
43.799,-79.276,0.062,0.724,0.007,0.31,0.572,0.054,0.029,0.028
43.634,-79.428,0.033,0.398,0.026,0.171,0.447,0.086,0.09,0.18
43.676,-79.432,0.04,0.623,0.01,0.278,0.328,0.1,0.073,0.211
43.672,-79.59,0.002,0.236,0.014,0.136,0.292,0.064,0.33,0.165
43.822,-79.258,0.04,0.505,0.024,0.16,0.282,0.073,0.317,0.144
43.821,-79.273,0.012,0.408,0.026,0.28,0.374,0.064,0.155,0.1
43.679,-79.381,0.032,0.43,0.107,0.213,0.315,0.118,0.102,0.145
43.835,-79.231,0.01,0.39,0.037,0.451,0.287,0.12,0.064,0.04
43.809,-79.288,0.079,0.846,0,0.734,0.179,0.015,0.037,0.034
43.652,-79.371,0.015,0.318,0.049,0.286,0.291,0.065,0.157,0.152
43.815,-79.212,0.016,0.505,0.035,0.379,0.297,0.091,0.083,0.115
43.852,-79.186,0.002,0.615,0.024,0.197,0.498,0.037,0.144,0.099
43.651,-79.572,0.089,0.31,0,0.131,0.497,0.102,0.149,0.121
43.682,-79.443,0.051,0.551,0.013,0.272,0.403,0.079,0.04,0.193
43.643,-79.575,0.016,0.545,0.021,0.244,0.326,0.106,0.184,0.119
43.668,-79.366,0.032,0.414,0.027,0.365,0.394,0.076,0.059,0.08
43.678,-79.549,0.017,0.29,0.011,0.223,0.293,0.129,0.231,0.113
43.665,-79.46,0.019,0.447,0.014,0.106,0.259,0.079,0.26,0.282
43.637,-79.543,0.017,0.395,0.008,0.315,0.202,0.081,0.313,0.082
43.637,-79.4,0.041,0.588,0.041,0.28,0.36,0.083,0.12,0.116
43.668,-79.303,0.032,0.649,0.005,0.306,0.376,0.127,0.098,0.088
43.656,-79.4,0.025,0.508,0.006,0.221,0.091,0.033,0.087,0.562
43.62,-79.562,0.022,0.362,0.018,0.102,0.296,0.029,0.233,0.322
43.638,-79.43,0.035,0.615,0.014,0.223,0.394,0.079,0.13,0.16
43.629,-79.554,0.022,0.753,0.007,0.037,0.138,0.054,0.313,0.451
43.611,-79.522,0.035,0.476,0.012,0.109,0.443,0.099,0.221,0.116
43.802,-79.295,0.031,0.583,0.031,0.222,0.237,0.046,0.289,0.175
43.789,-79.332,0.094,0.315,0.012,0.338,0.49,0.034,0.039,0.087
43.807,-79.291,0.045,0.405,0.053,0.226,0.055,0.032,0.495,0.14
43.655,-79.412,0.027,0.608,0.016,0.138,0.266,0.102,0.112,0.366
43.672,-79.4,0.015,0.399,0.007,0.346,0.228,0.14,0.036,0.242
43.619,-79.521,0.018,0.649,0.025,0.174,0.322,0.082,0.262,0.136
43.809,-79.2,0.071,0.738,0.002,0.116,0.076,0.018,0.52,0.268
43.636,-79.397,0.044,0.708,0.014,0.272,0.297,0.128,0.184,0.105
43.667,-79.313,0.053,0.485,0.045,0.172,0.371,0.103,0.179,0.129
43.657,-79.381,0.038,0.441,0.075,0.279,0.234,0.093,0.207,0.111
43.811,-79.355,0.129,0.432,0,0.695,0.119,0.025,0.059,0.103
43.656,-79.38,0.036,0.434,0.06,0.351,0.292,0.064,0.119,0.114
43.801,-79.167,0.044,0.432,0.023,0.173,0.496,0.078,0.124,0.105
43.645,-79.588,0.068,0.27,0.005,0.245,0.231,0.028,0.253,0.238
43.795,-79.179,0.028,0.937,0.006,0.584,0.171,0.111,0.03,0.099
43.651,-79.375,0.032,0.629,0.08,0.254,0.34,0.077,0.131,0.119
43.655,-79.566,0.058,0.559,0.034,0.276,0.332,0.063,0.178,0.118
43.639,-79.564,0.037,0.449,0.034,0.336,0.35,0.053,0.119,0.108
43.603,-79.526,0.036,0.298,0.002,0.234,0.317,0.042,0.212,0.193
43.646,-79.467,0.019,0.227,0.068,0.168,0.439,0.099,0.07,0.156
43.6,-79.521,0.059,0.322,0.006,0.32,0.382,0.037,0.165,0.09
43.682,-79.567,0.007,0.297,0.022,0.19,0.445,0.069,0.14,0.134
43.632,-79.561,0.042,0.726,0.023,0.235,0.274,0.056,0.333,0.08
43.791,-79.158,0.051,0.459,0.012,0.353,0.27,0.149,0.092,0.123
43.672,-79.562,0.059,0.55,0.025,0.211,0.458,0.081,0.128,0.096
43.671,-79.503,0.002,0.281,0.034,0.218,0.395,0.078,0.11,0.166
43.804,-79.248,0.04,0.509,0,0.04,0.736,0,0.107,0.118
43.811,-79.325,0.068,0.317,0.03,0.344,0.463,0.044,0.077,0.042
43.642,-79.507,0.027,0.297,0,0.249,0.397,0.052,0.135,0.167
43.632,-79.549,0.054,0.448,0,0.25,0.151,0.056,0.32,0.223
43.666,-79.533,0.009,0.29,0.038,0.211,0.377,0.091,0.149,0.135
43.643,-79.528,0.032,0.276,0.352,0.113,0.29,0.121,0.047,0.077
43.814,-79.347,0.01,0.514,0.026,0.177,0.351,0.081,0.229,0.136
43.654,-79.364,0.063,0.476,0.05,0.176,0.282,0.064,0.286,0.142
43.8,-79.396,0.099,0.527,0.047,0.37,0.283,0.1,0.071,0.129
43.663,-79.4,0.033,0.464,0.006,0.185,0.341,0.175,0.078,0.214
43.678,-79.49,0.029,0.573,0.024,0.262,0.261,0.067,0.093,0.293
43.658,-79.377,0.041,0.401,0.025,0.484,0.226,0.059,0.095,0.11
43.79,-79.175,0.05,0.856,0.02,0.336,0.404,0.066,0.08,0.093
43.672,-79.3,0.037,0.946,0.022,0.537,0.177,0.102,0.1,0.062
43.669,-79.38,0.046,0.498,0.05,0.233,0.39,0.081,0.133,0.114
43.646,-79.483,0.024,0.415,0.042,0.219,0.351,0.067,0.16,0.162
43.633,-79.558,0.003,0.594,0.017,0.157,0.252,0.083,0.352,0.139
43.654,-79.444,0.114,0.429,0.003,0.044,0.406,0.011,0.357,0.18
43.823,-79.296,0.017,0.658,0.007,0.366,0.251,0.04,0.257,0.079
43.671,-79.335,0.093,0.345,0,0.62,0.115,0.056,0.022,0.187
43.665,-79.49,0.039,0.496,0.004,0.495,0.229,0.012,0.106,0.155
43.809,-79.187,0.014,0.192,0.021,0.596,0.204,0.024,0.036,0.119
43.632,-79.505,0.014,0.433,0.033,0.272,0.359,0.082,0.175,0.08
43.681,-79.286,0.028,0.493,0.019,0.283,0.363,0.117,0.118,0.102
43.673,-79.285,0.047,0.366,0.025,0.295,0.35,0.102,0.107,0.122
43.639,-79.504,0.022,0.228,0.005,0.446,0.197,0.027,0.272,0.054
43.645,-79.527,0.034,0.669,0.068,0.125,0.61,0.1,0.027,0.069
43.836,-79.253,0.033,0.286,0.033,0.288,0.349,0.048,0.174,0.108
43.68,-79.35,0.04,0.525,0.017,0.362,0.386,0.113,0.048,0.074
43.651,-79.407,0.038,0.281,0.033,0.347,0.271,0.057,0.098,0.195
43.663,-79.35,0.007,0.208,0.023,0.319,0.351,0.089,0.085,0.134
43.806,-79.274,0.025,0.526,0.03,0.374,0.232,0.062,0.15,0.152
43.66,-79.386,0.038,0.528,0.051,0.249,0.362,0.077,0.122,0.139
43.817,-79.211,0.069,0.52,0.022,0.316,0.299,0.05,0.159,0.153
43.68,-79.331,0.091,0.373,0.042,0.356,0.362,0.128,0.03,0.081
43.648,-79.362,0.014,0.605,0.025,0.14,0.45,0.105,0.136,0.144
43.685,-79.314,0.031,0.386,0.034,0.362,0.326,0.072,0.128,0.078
43.794,-79.303,0.03,0.33,0.02,0.42,0.365,0.071,0.021,0.103
43.681,-79.545,0.037,0.313,0,0.307,0.196,0.043,0.407,0.046
43.68,-79.54,0.014,0.371,0.01,0.265,0.375,0.08,0.161,0.108
43.685,-79.393,0.023,0.422,0.104,0.259,0.236,0.082,0.161,0.159
43.626,-79.491,0.058,0.705,0.007,0.401,0.252,0.045,0.207,0.088
43.66,-79.531,0.088,0.228,0,0.28,0.087,0.021,0.58,0.032
43.64,-79.563,0.111,0.651,0.055,0.236,0.36,0.093,0.148,0.108
43.669,-79.547,0.001,0.31,0.026,0.236,0.336,0.105,0.172,0.125
43.644,-79.531,0.079,0.558,0.015,0.27,0.328,0.064,0.226,0.097
43.791,-79.453,0.03,0.318,0.024,0.239,0.385,0.073,0.163,0.116
43.801,-79.212,0.011,0.176,0.008,0.49,0.218,0.072,0.014,0.198
43.824,-79.23,0.09,0.397,0.011,0.481,0.344,0.062,0.054,0.047
43.654,-79.433,0.012,0.351,0.028,0.147,0.332,0.082,0.255,0.157
43.82,-79.262,0.057,0.368,0.041,0.173,0.394,0.073,0.208,0.111
43.643,-79.562,0.001,0.568,0.018,0.153,0.276,0.083,0.326,0.143
43.648,-79.478,0.059,0.567,0.016,0.403,0.316,0.058,0.087,0.12
43.655,-79.5,0.046,0.825,0.008,0.353,0.219,0.069,0.154,0.198
43.64,-79.445,0.048,0.637,0.002,0.406,0.263,0.058,0.098,0.172
43.636,-79.539,0.05,0.552,0.067,0.313,0.35,0.016,0.11,0.144
43.679,-79.451,0.063,0.387,0.012,0.356,0.365,0.079,0.036,0.152
43.828,-79.258,0.015,0.321,0,0.228,0.339,0.1,0.222,0.111
43.624,-79.494,0.045,0.614,0.02,0.29,0.253,0.083,0.255,0.099
43.621,-79.528,0.036,0.444,0.041,0.28,0.148,0.128,0.238,0.164
43.823,-79.221,0.018,0.175,0,0.497,0.268,0.125,0.027,0.083
43.678,-79.451,0.04,0.379,0.005,0.23,0.477,0.065,0.07,0.153
43.679,-79.458,0.05,0.565,0.004,0.438,0.336,0.043,0.015,0.164
43.603,-79.498,0.051,0.532,0.011,0.304,0.361,0.058,0.202,0.065
43.625,-79.521,0.062,0.276,0,0.217,0.443,0.018,0.248,0.075
43.636,-79.521,0.03,0.466,0.033,0.15,0.578,0.038,0.061,0.139
43.665,-79.48,0.02,0.355,0.022,0.359,0.262,0.04,0.121,0.197
43.604,-79.521,0.067,0.55,0.001,0.11,0.555,0.101,0.107,0.126
43.63,-79.417,0.034,0.237,0,0.236,0.344,0.044,0.212,0.164
43.821,-79.296,0.045,0.377,0.002,0.247,0.126,0.045,0.471,0.109
43.675,-79.577,0,0.248,0.024,0.085,0.215,0.094,0.383,0.199
43.808,-79.336,0.049,0.375,0,0.401,0.152,0.081,0.243,0.122
43.665,-79.439,0.024,0.423,0.004,0.188,0.61,0.078,0.047,0.074
43.8,-79.377,0.062,0.282,0,0.65,0.1,0.074,0.071,0.105
43.792,-79.187,0.022,0.257,0,0.491,0.128,0.077,0.015,0.289
43.605,-79.516,0.01,0.527,0.001,0.046,0.509,0.081,0.203,0.16
43.656,-79.436,0.017,0.611,0,0.121,0.322,0.094,0.229,0.235
43.682,-79.46,0.014,0.41,0.121,0.057,0.719,0.044,0,0.059
43.639,-79.449,0.026,0.441,0.035,0.209,0.428,0.101,0.119,0.108
43.67,-79.445,0.083,0.496,0.032,0.325,0.226,0.125,0.028,0.264
43.601,-79.526,0.052,0.454,0.005,0.249,0.535,0.035,0.099,0.076
43.81,-79.269,0.067,0.504,0.013,0.243,0.387,0.054,0.188,0.116
43.802,-79.374,0.067,0.308,0,0.724,0.104,0.056,0.016,0.101
43.671,-79.284,0.17,0.549,0.004,0.314,0.293,0.034,0.079,0.276
43.636,-79.534,0.161,0.455,0.171,0.14,0.558,0.046,0.03,0.056
43.82,-79.244,0.073,0.606,0.055,0.269,0.264,0.018,0.336,0.057
43.627,-79.487,0.02,0.289,0.02,0.082,0.144,0.143,0.474,0.137
43.664,-79.307,0.016,0.427,0.036,0.24,0.553,0.051,0.031,0.09
43.674,-79.468,0.074,0.759,0.017,0.32,0.217,0.076,0.107,0.263
43.794,-79.311,0.096,0.311,0,0.502,0.136,0.045,0.17,0.148
43.788,-79.346,0.031,0.165,0.024,0.516,0.315,0.065,0.045,0.034
43.804,-79.168,0.064,0.455,0.039,0.387,0.427,0.067,0.034,0.045
43.79,-79.444,0.09,0.267,0.01,0.411,0.215,0,0.211,0.153
43.658,-79.459,0.016,0.555,0.025,0.364,0.25,0.096,0.036,0.229
43.682,-79.378,0.148,0.75,0.047,0.344,0.316,0.08,0.064,0.148
43.654,-79.356,0.031,0.387,0.011,0.283,0.322,0.051,0.197,0.136
43.658,-79.477,0.025,0.457,0.016,0.329,0.267,0.098,0.087,0.202
43.805,-79.27,0.101,0.593,0,0.552,0.255,0.065,0,0.129
43.652,-79.366,0.021,0.422,0.067,0.227,0.344,0.086,0.105,0.172
43.623,-79.559,0.062,0.203,0,0.156,0.275,0.014,0.383,0.173
43.665,-79.53,0.125,0.337,0.031,0.357,0.284,0.095,0.157,0.076
40.443,-80.62,0,0,0,0,0.818,0.131,0,0.051
40.451,-80.615,0.043,0.511,0.042,0.098,0.544,0.037,0.179,0.101
43.677,-79.359,0.031,0.473,0.066,0.227,0.362,0.054,0.154,0.137
43.651,-79.454,0.007,0.457,0.029,0.225,0.388,0.11,0.101,0.147
43.678,-79.353,0.059,0.381,0.02,0.183,0.478,0.046,0.172,0.101
43.626,-79.525,0.182,0.405,0,0.252,0.155,0.065,0.472,0.056
43.623,-79.551,0.016,0.109,0,0.012,0,0,0.825,0.163
44.572,-96.641,0.071,0.772,0,0,0.929,0,0.071,0
43.621,-79.564,0.002,0.665,0.001,0.005,0.012,0.011,0.17,0.8
43.629,-79.503,0.023,0.381,0,0.238,0.407,0.043,0.263,0.049
43.787,-79.385,0.023,0.361,0.054,0.323,0.323,0.082,0.119,0.099
43.67,-79.381,0.04,0.659,0.076,0.268,0.334,0.098,0.069,0.155
43.657,-79.429,0.102,0.623,0.04,0.135,0.115,0.036,0.037,0.637
43.587,-79.541,0.025,0.174,0.023,0.381,0.307,0.033,0.189,0.066
43.672,-79.408,0.041,0.541,0.019,0.369,0.231,0.149,0.07,0.163
43.664,-79.319,0.043,0.512,0.025,0.141,0.385,0.073,0.27,0.107
43.675,-79.441,0.022,0.815,0.019,0.46,0.165,0.059,0.07,0.227
43.605,-79.517,0.009,1.277,0.002,0.046,0.542,0.074,0.198,0.138
43.663,-79.377,0.02,0.445,0.049,0.255,0.311,0.078,0.191,0.117
43.594,-79.541,0.018,0.14,0.002,0.255,0.343,0.037,0.24,0.124
43.798,-79.147,0.029,0.377,0.012,0.096,0.496,0.111,0.162,0.123
43.6,-79.546,0.028,0.243,0,0.361,0.176,0.039,0.368,0.056
43.654,-79.336,0.149,0.7,0.013,0.155,0.364,0.167,0.238,0.063
43.845,-79.176,0,0.108,0.045,0.161,0.66,0.039,0.029,0.067
43.818,-79.206,0.125,0.604,0.3,0.281,0.297,0.03,0.011,0.083
43.644,-79.416,0.031,0.542,0.018,0.173,0.245,0.091,0.243,0.23
43.636,-79.544,0.008,0.318,0,0.33,0.156,0.045,0.411,0.058
43.678,-79.329,0.094,0.502,0.716,0.094,0.159,0.007,0.015,0.009
43.673,-79.378,0.006,0.304,0.04,0.225,0.438,0.064,0.118,0.115
43.646,-79.52,0.041,0.282,0.062,0.345,0.224,0.107,0.157,0.105
43.621,-79.547,0.022,0.574,0.005,0.092,0.205,0.163,0.366,0.169
43.642,-79.397,0.014,0.65,0.03,0.212,0.338,0.081,0.171,0.168
43.816,-79.317,0.087,0.477,0.008,0.287,0.565,0.052,0.009,0.078
43.675,-79.527,0.072,0.746,0,0.207,0.362,0.011,0.359,0.061
43.662,-79.364,0.052,0.567,0.03,0.212,0.453,0.025,0.158,0.123
43.665,-79.384,0.032,0.698,0.077,0.197,0.325,0.083,0.174,0.145
43.665,-79.379,0.032,0.592,0.031,0.306,0.3,0.049,0.187,0.127
43.789,-79.158,0,0.197,0.027,0.159,0.487,0.053,0.159,0.115
43.663,-79.572,0.012,0.636,0.021,0.159,0.28,0.062,0.347,0.131
43.795,-79.353,0.041,0.498,0.011,0.251,0.334,0.117,0.166,0.121
43.802,-79.138,0,0.563,0.016,0.099,0.305,0.042,0.403,0.135
43.614,-79.539,0.111,0.435,0,0.171,0.132,0.592,0.054,0.052
43.658,-79.376,0.06,0.548,0.008,0.382,0.232,0.051,0.224,0.104
43.644,-79.509,0.021,0.297,0.006,0.377,0.279,0.084,0.204,0.05
43.807,-79.362,0.003,0.116,0.018,0.374,0.215,0.132,0.151,0.11
43.826,-79.282,0.081,0.247,0,0.51,0.333,0.107,0.018,0.032
43.657,-79.542,0.005,0.471,0.039,0.263,0.341,0.097,0.139,0.121
43.638,-79.398,0.016,0.456,0.042,0.252,0.349,0.078,0.157,0.123
43.649,-79.506,0.019,0.459,0.057,0.274,0.346,0.088,0.105,0.13
43.788,-79.234,0.014,0.233,0.019,0.239,0.293,0.026,0.279,0.145
43.794,-79.207,0.081,0.458,0,0.469,0.378,0.042,0.073,0.037
43.617,-79.531,0.026,1.017,0.02,0.259,0.295,0.071,0.246,0.109
40.464,-80.601,0.028,0.402,0.048,0.087,0.221,0.224,0.239,0.18
43.811,-79.279,0.039,0.63,0.022,0.257,0.51,0.086,0.057,0.068
43.64,-79.348,0.018,0.507,0.016,0.081,0.311,0.054,0.315,0.223
43.653,-79.406,0.018,0.341,0.043,0.16,0.294,0.079,0.272,0.154
43.791,-79.439,0.032,0.205,0.018,0.407,0.229,0.089,0.106,0.151
43.643,-79.445,0.042,0.626,0.002,0.424,0.213,0.144,0.055,0.162
43.638,-79.536,0.071,0.899,0.087,0.256,0.238,0.035,0.268,0.115
43.831,-79.259,0.021,0.692,0.014,0.141,0.078,0.046,0.536,0.185
43.68,-79.521,0.068,0.52,0.085,0.237,0.432,0.048,0.163,0.035
43.674,-79.38,0.012,0.278,0.056,0.227,0.387,0.091,0.107,0.131
43.818,-79.301,0.298,0.384,0.01,0.592,0.016,0.023,0.127,0.232
43.649,-79.556,0.013,0.282,0.003,0.224,0.315,0.098,0.294,0.067
43.79,-79.259,0.039,0.625,0.027,0.13,0.396,0.061,0.186,0.201
43.809,-79.174,0.043,0.478,0,0.685,0.151,0.066,0.029,0.069
43.669,-79.304,0.023,0.511,0.048,0.243,0.312,0.104,0.174,0.12
43.68,-79.59,0.106,0.535,0,0.084,0.234,0.082,0.492,0.107
43.664,-79.341,0.013,0.29,0.018,0.155,0.343,0.066,0.274,0.145
43.644,-79.518,0.063,0.47,0.005,0.369,0.22,0.071,0.219,0.117
43.834,-79.25,0.038,0.876,0.003,0.119,0.318,0.072,0.383,0.105
43.637,-79.503,0.018,0.292,0,0.51,0.113,0.001,0.307,0.069
43.813,-79.157,0.069,0.524,0.026,0.251,0.548,0.092,0.012,0.07
43.664,-79.434,0.035,0.537,0.007,0.342,0.3,0.073,0.066,0.211
43.648,-79.404,0.036,0.578,0.042,0.282,0.267,0.075,0.156,0.178
43.823,-79.291,0.074,0.252,0,0.665,0.217,0.035,0.039,0.044
43.637,-79.532,0.035,0.64,0.01,0.3,0.182,0.202,0.23,0.076
43.808,-79.186,0.044,0.342,0.001,0.562,0.276,0.047,0.071,0.043
43.815,-79.273,0.177,0.521,0,0.72,0.196,0.028,0.033,0.024
43.788,-79.363,0.027,0.52,0.005,0.361,0.4,0.062,0.118,0.054
43.677,-79.374,0.117,0.476,0.051,0.165,0.499,0.092,0.08,0.113
43.664,-79.417,0.047,0.452,0.031,0.216,0.294,0.093,0.178,0.188
43.648,-79.391,0.035,0.697,0.06,0.24,0.244,0.094,0.217,0.146
43.828,-79.255,0,0,0,0,0.083,0.083,0.625,0.208
43.789,-79.244,0.041,1.211,0.052,0.208,0.193,0.005,0.025,0.518
