,cluster,X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,ObjectId
32,3,-8848417.85564279,5431975.31012532,3429049,908179,2006,2006/03/18 05:00:00+00,2120,21,STEELES AVE W,SHALE GT,<Null>,Major Arterial,North York,6,31,43.783345,-79.48669,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Driver,25 to 29,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,Yes,<Null>,D31,27,York University Heights (27),33
33,3,-8848417.85564279,5431975.31012532,3429050,908179,2006,2006/03/18 05:00:00+00,2120,21,STEELES AVE W,SHALE GT,<Null>,Major Arterial,North York,6,31,43.783345,-79.48669,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,Approaching,Driver,20 to 24,Major,<Null>,East,"Automobile, Station Wagon",Making U Turn,Failed to Yield Right of Way,"Ability Impaired, Alcohol",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,Yes,<Null>,D31,27,York University Heights (27),34
35,3,-8845300.90990058,5415199.24436039,3400442,897456,2006,2006/03/19 05:00:00+00,207,2,ST CLAIR AVE W,BLACKTHORN AVE,<Null>,Major Arterial,Toronto and East York,9,"12,11",43.674445,-79.45869,Intersection,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Driver,25 to 29,Minor,<Null>,West,"Automobile, Station Wagon",Going Ahead,Lost control,Other,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,<Null>,<Null>,D11,91,Weston-Pellam Park (91),36
37,4,-8830350.70228704,5437574.12073515,3402266,898163,2006,2006/03/19 05:00:00+00,1743,17,STEELES AVE E,WARDEN AVE,<Null>,Major Arterial,Scarborough,22,42,43.819645,-79.32439,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,25 to 29,Major,<Null>,West,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,Yes,<Null>,<Null>,D42,116,Steeles (116),38
38,4,-8830350.70228704,5437574.12073515,3402267,898163,2006,2006/03/19 05:00:00+00,1743,17,STEELES AVE E,WARDEN AVE,<Null>,Major Arterial,Scarborough,22,42,43.819645,-79.32439,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,40 to 44,Minor,<Null>,East,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,Yes,<Null>,<Null>,D42,116,Steeles (116),39
41,4,-8830350.70228704,5437574.12073515,3402270,898163,2006,2006/03/19 05:00:00+00,1743,17,STEELES AVE E,WARDEN AVE,<Null>,Major Arterial,Scarborough,22,42,43.819645,-79.32439,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,50 to 54,Major,<Null>,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,Yes,<Null>,<Null>,D42,116,Steeles (116),42
42,4,-8830350.70228704,5437574.12073515,3402271,898163,2006,2006/03/19 05:00:00+00,1743,17,STEELES AVE E,WARDEN AVE,<Null>,Major Arterial,Scarborough,22,42,43.819645,-79.32439,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,20 to 24,None,<Null>,West,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,Yes,<Null>,<Null>,D42,116,Steeles (116),43
43,7,-8820042.51743959,5432052.40563029,3391145,893964,2006,2006/03/20 05:00:00+00,755,7,941 PROGRESS AVE,<Null>,<Null>,Minor Arterial,Scarborough,24,43,43.783845,-79.23179,Mid-Block,<Null>,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,20 to 24,None,<Null>,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D43,137,Woburn (137),44
46,5,-8849241.61987466,5419894.70141062,3391329,894030,2006,2006/03/20 05:00:00+00,2100,21,BLACK CREEK DR,LAWRENCE AVE W,<Null>,Major Arterial,Etobicoke York,5,12,43.704945,-79.49409,Intersection,<Null>,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Driver,25 to 29,Major,<Null>,North,"Automobile, Station Wagon",Slowing or Stopping,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D12,30,Brookhaven-Amesbury (30),47
47,0,-8849241.61987466,5419894.70141062,3391330,894030,2006,2006/03/20 05:00:00+00,2100,21,BLACK CREEK DR,LAWRENCE AVE W,<Null>,Major Arterial,Etobicoke York,5,12,43.704945,-79.49409,Intersection,<Null>,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Driver,30 to 34,None,<Null>,North,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D12,30,Brookhaven-Amesbury (30),48
48,7,-8847505.03581829,5420772.47796379,3392380,894423,2006,2006/03/22 05:00:00+00,1435,14,2423 KEELE ST,<Null>,<Null>,Major Arterial,Etobicoke York,5,12,43.710645,-79.47849,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Unattended Vehicle,Driver,50 to 54,None,<Null>,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,D12,29,Maple Leaf (29),49
49,6,-8847505.03581829,5420772.47796379,3392381,894423,2006,2006/03/22 05:00:00+00,1435,14,2423 KEELE ST,<Null>,<Null>,Major Arterial,Etobicoke York,5,12,43.710645,-79.47849,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Unattended Vehicle,Driver,70 to 74,Major,<Null>,South,"Automobile, Station Wagon",Going Ahead,Lost control,Medical or Physical Disability,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,D12,29,Maple Leaf (29),50
53,7,-8847449.37607289,5416446.00176593,3403889,898778,2006,2006/03/25 05:00:00+00,1139,11,WESTON RD,ROGERS RD,<Null>,Major Arterial,Etobicoke York,5,12,43.682545,-79.47799,Mid-Block,<Null>,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Turning Movement,Driver,45 to 49,None,<Null>,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D12,111,Rockcliffe-Smythe (111),54
55,6,-8847449.37607289,5416446.00176593,3403891,898778,2006,2006/03/25 05:00:00+00,1139,11,WESTON RD,ROGERS RD,<Null>,Major Arterial,Etobicoke York,5,12,43.682545,-79.47799,Mid-Block,<Null>,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Turning Movement,Driver,15 to 19,Major,<Null>,North,"Automobile, Station Wagon",Making U Turn,Other,Inattentive,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,D12,111,Rockcliffe-Smythe (111),56
58,6,-8844978.08337728,5415707.16224595,3404789,899126,2006,2006/03/26 05:00:00+00,1614,16,CALEDONIA RD,NORMAN AVE,<Null>,Minor Arterial,Toronto and East York,9,13,43.677745,-79.45579,Intersection,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Driver,35 to 39,Major,<Null>,North,"Automobile, Station Wagon",Going Ahead,Lost control,Had Been Drinking,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D13,92,Corso Italia-Davenport (92),59
65,5,-8849764.82148139,5416738.47540648,3405924,899537,2006,2006/04/01 05:00:00+00,2205,22,JANE ST,EGLINTON AVE W,<Null>,Major Arterial,Etobicoke York,5,12,43.684445,-79.49879,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Sideswipe,Driver,30 to 34,None,<Null>,North,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,<Null>,<Null>,D12,115,Mount Dennis (115),66
67,3,-8849764.82148139,5416738.47540648,3405926,899537,2006,2006/04/01 05:00:00+00,2205,22,JANE ST,EGLINTON AVE W,<Null>,Major Arterial,Etobicoke York,5,12,43.684445,-79.49879,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Sideswipe,Driver,30 to 34,None,<Null>,North,"Automobile, Station Wagon",Overtaking,Lost control,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,<Null>,<Null>,D12,115,Mount Dennis (115),68
74,6,-8831619.74448209,5421142.09306588,3395993,895818,2006,2006/04/02 05:00:00+00,1717,17,DON MILLS RD,GATEWAY BLVD,<Null>,Major Arterial,North York,16,54,43.713045,-79.33579,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Driver,55 to 59,Major,<Null>,South,"Automobile, Station Wagon",Going Ahead,Lost control,Medical or Physical Disability,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,D54,44,Flemingdon Park (44),75
79,6,-8833823.87039979,5424176.57661367,3396286,895926,2006,2006/04/04 04:00:00+00,230,2,1340 LESLIE ST,<Null>,<Null>,Major Arterial,North York,"15,16",33,43.732745,-79.35559,Mid-Block,<Null>,No Control,Clear,Dark,Dry,Non-Fatal Injury,SMV Other,Driver,40 to 44,Major,<Null>,South,"Automobile, Station Wagon",Going Ahead,Lost control,"Ability Impaired, Alcohol Over .08",<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,D33,42,Banbury-Don Mills (42),80
80,1,-8840235.87306949,5417061.74652353,3396699,896072,2006,2006/04/04 04:00:00+00,1325,13,WALMER RD,HEATH ST W,<Null>,Collector,Toronto and East York,12,13,43.686545,-79.41319,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,60 to 64,None,<Null>,North,"Automobile, Station Wagon",Turning Right,Other,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D13,101,Forest Hill South (101),81
84,7,-8843130.17983011,5420372.0783051,3406954,899914,2006,2006/04/06 04:00:00+00,1825,18,232 VIEWMOUNT AVE,<Null>,<Null>,Local,North York,8,13,43.708045,-79.43919,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,15 to 19,None,<Null>,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D13,32,Englemount-Lawrence (32),85
87,3,-8817571.22474398,5426179.57440067,3400142,897350,2006,2006/04/07 04:00:00+00,1555,15,KINGSTON RD,EGLINTON AVE E,<Null>,Major Arterial,Scarborough,24,43,43.745745,-79.20959,Mid-Block,<Null>,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Rear End,Driver,40 to 44,None,<Null>,East,"Automobile, Station Wagon",Slowing or Stopping,Speed too Fast For Condition,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D43,139,Scarborough Village (139),88
89,3,-8817571.22474398,5426179.57440067,3400144,897350,2006,2006/04/07 04:00:00+00,1555,15,KINGSTON RD,EGLINTON AVE E,<Null>,Major Arterial,Scarborough,24,43,43.745745,-79.20959,Mid-Block,<Null>,No Control,Rain,Daylight,Wet,Non-Fatal Injury,Rear End,Driver,55 to 59,Major,<Null>,East,Other,Slowing or Stopping,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,D43,139,Scarborough Village (139),90
91,7,-8823504.55360325,5432807.97570527,3407219,900010,2006,2006/04/08 04:00:00+00,1150,11,4559 SHEPPARD Aven E,<Null>,<Null>,Major Arterial,Scarborough,23,42,43.788745,-79.26289,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Motorcycle Driver,30 to 34,Major,<Null>,North,Motorcycle,Turning Right,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D42,128,Agincourt South-Malvern West (128),92
94,2,-8856933.79668848,5415199.24436039,3407952,900284,2006,2006/04/11 04:00:00+00,1530,15,EGLINTON AVE W,MARTIN GROVE RD,<Null>,Major Arterial,Etobicoke York,"1,2","23,22",43.674445,-79.56319,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,45 to 49,None,<Null>,East,"Automobile, Station Wagon",Going Ahead,Following too Close,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D22,10,Princess-Rosethorn (10),95
95,5,-8856933.79668848,5415199.24436039,3407953,900284,2006,2006/04/11 04:00:00+00,1530,15,EGLINTON AVE W,MARTIN GROVE RD,<Null>,Major Arterial,Etobicoke York,"1,2","23,22",43.674445,-79.56319,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,60 to 64,Major,<Null>,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D22,10,Princess-Rosethorn (10),96
96,7,-8825686.4156228,5429893.97517089,3407954,900285,2006,2006/04/11 04:00:00+00,1620,16,KENNEDY RD,PROGRESS AVE,<Null>,Major Arterial,Scarborough,21,41,43.769845,-79.28249,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,Motorcycle Driver,40 to 44,Major,<Null>,South,Motorcycle,Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D41,126,Dorset Park (126),97
97,7,-8825686.4156228,5429893.97517089,3407955,900285,2006,2006/04/11 04:00:00+00,1620,16,KENNEDY RD,PROGRESS AVE,<Null>,Major Arterial,Scarborough,21,41,43.769845,-79.28249,Mid-Block,<Null>,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Sideswipe,Driver,40 to 44,None,<Null>,South,"Automobile, Station Wagon",Turning Left,Improper Lane Change,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,D41,126,Dorset Park (126),98
100,5,-8839512.29637933,5425933.02812536,3410195,901141,2006,2006/05/06 04:00:00+00,1830,18,YONGE ST,WILSON AVE,<Null>,Major Arterial,North York,"8,15",32,43.744145,-79.40669,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,40 to 44,Minor,<Null>,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,D32,40,St.Andrew-Windfields (40),101
102,7,-8839512.29637933,5425933.02812536,3410196,901141,2006,2006/05/06 04:00:00+00,1830,18,YONGE ST,WILSON AVE,<Null>,Major Arterial,North York,"8,15",32,43.744145,-79.40669,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,Minor,<Null>,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,D32,40,St.Andrew-Windfields (40),103
103,9,-8839512.29637933,5425933.02812536,3410197,901141,2006,2006/05/06 04:00:00+00,1830,18,YONGE ST,WILSON AVE,<Null>,Major Arterial,North York,"8,15",32,43.744145,-79.40669,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,90 to 94,Major,<Null>,North,"Automobile, Station Wagon",Turning Left,Improper Turn,Medical or Physical Disability,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,D32,40,St.Andrew-Windfields (40),104
