,LATITUDE,LONGITUDE,INVAGE,RDSFCOND,VISIBILITY,LIGHT,TRAFFCTL,DRIVACT,DRIVCOND,TIME
183,43.629,-79.425,40 to 44,Dry,Clear,"Dark, artificial",No Control,Lost control,Normal,1934.5
184,43.629,-79.425,40 to 44,Dry,Clear,Daylight,No Control,Other,Had Been Drinking,1934.5
185,43.63,-79.563,20 to 24,Wet,Rain,Dark,No Control,Lost control,Normal,238.0
186,43.63,-79.517,35 to 39,Dry,Clear,Daylight,No Control,Lost control,Normal,1631.0
187,43.63,-79.484,40 to 44,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Inattentive,1847.0
188,43.63,-79.483,30 to 34,Dry,Clear,Dark,No Control,Lost control,"Ability Impaired, Alcohol",2206.0
189,43.63,-79.427,50 to 54,Loose Snow,Clear,Daylight,No Control,Lost control,Normal,1351.5
190,43.63,-79.427,55 to 59,Dry,Clear,Daylight,No Control,Lost control,Inattentive,1351.5
191,43.63,-79.426,25 to 29,Dry,Clear,"Dark, artificial",No Control,Exceeding Speed Limit,Inattentive,521.0
192,43.63,-79.425,30 to 34,Dry,Clear,Daylight,No Control,Other,Inattentive,1805.0
193,43.63,-79.424,20 to 24,Dry,Clear,Daylight,No Control,Lost control,"Ability Impaired, Alcohol",645.0
194,43.63,-79.419,20 to 24,Dry,Clear,"Dark, artificial",Traffic Signal,Improper Turn,Inattentive,2008.0
195,43.63,-79.419,45 to 49,Dry,Clear,"Dark, artificial",Traffic Signal,Improper Turn,Normal,2008.0
196,43.63,-79.419,70 to 74,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,2008.0
197,43.631,-79.576,15 to 19,Dry,Clear,Daylight,No Control,Lost control,Fatigue,1215.0
198,43.631,-79.552,35 to 39,Dry,Clear,Daylight,Traffic Signal,Disobeyed Traffic Control,Normal,1485.0
199,43.631,-79.552,65 to 69,Dry,Clear,Daylight,Traffic Signal,Improper Turn,Normal,1485.0
200,43.631,-79.552,65 to 69,Wet,Rain,Dark,Traffic Signal,Failed to Yield Right of Way,Normal,1485.0
201,43.631,-79.531,45 to 49,Wet,Rain,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Normal,502.0
202,43.632,-79.575,20 to 24,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1555.0
203,43.632,-79.544,35 to 39,Dry,Clear,Daylight,Traffic Controller,Failed to Yield Right of Way,Normal,1949.0
204,43.632,-79.531,20 to 24,Dry,Clear,Dark,No Control,Exceeding Speed Limit,"Ability Impaired, Alcohol Over .08",202.0
205,43.632,-79.524,20 to 24,Dry,Clear,Daylight,No Control,Improper Passing,Inattentive,1204.0
206,43.632,-79.476,35 to 39,Dry,Clear,Daylight,No Control,Lost control,Unknown,1709.0
207,43.632,-79.473,35 to 39,Dry,"Fog, Mist, Smoke, Dust",Daylight,No Control,Other,Other,1025.0
208,43.632,-79.473,65 to 69,Dry,"Fog, Mist, Smoke, Dust",Daylight,No Control,Speed too Fast For Condition,Inattentive,1025.0
209,43.632,-79.434,20 to 24,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Normal,1328.5
210,43.632,-79.434,30 to 34,Dry,Clear,Daylight,No Control,Improper Lane Change,Inattentive,1328.5
211,43.632,-79.433,25 to 29,Dry,Clear,Dark,No Control,Lost control,Normal,2252.0
212,43.632,-79.432,45 to 49,Dry,Clear,Dark,No Control,Lost control,"Ability Impaired, Alcohol",319.0
213,43.632,-79.429,20 to 24,Other,Clear,"Dark, artificial",No Control,Other,Had Been Drinking,233.0
214,43.632,-79.41,20 to 24,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,2090.0
215,43.632,-79.41,25 to 29,Dry,Clear,Dark,Traffic Signal,Lost control,Inattentive,2090.0
216,43.632,-79.41,60 to 64,Dry,Clear,Dark,Traffic Signal,Disobeyed Traffic Control,Unknown,2090.0
217,43.633,-79.57,45 to 49,Dry,Clear,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Inattentive,1699.25
218,43.633,-79.57,50 to 54,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1699.25
219,43.633,-79.57,55 to 59,Wet,Rain,"Dark, artificial",Traffic Signal,Failed to Yield Right of Way,Unknown,1699.25
220,43.633,-79.57,70 to 74,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1699.25
221,43.633,-79.52,45 to 49,Dry,Clear,Daylight,No Control,Lost control,Unknown,1029.0
222,43.633,-79.472,20 to 24,Dry,Clear,"Dark, artificial",No Control,Lost control,"Ability Impaired, Alcohol Over .08",345.0
223,43.633,-79.437,20 to 24,Wet,Rain,"Dark, artificial",No Control,Lost control,Inattentive,550.6666666666666
224,43.633,-79.437,25 to 29,Wet,Clear,Dark,No Control,Lost control,Inattentive,550.6666666666666
225,43.633,-79.437,35 to 39,Dry,Clear,Daylight,No Control,Speed too Fast For Condition,Normal,550.6666666666666
226,43.633,-79.436,35 to 39,Dry,Clear,Daylight,No Control,Following too Close,Normal,1620.0
227,43.633,-79.435,25 to 29,Dry,Clear,Dark,No Control,Lost control,Unknown,645.5
228,43.633,-79.435,55 to 59,Dry,Clear,Daylight,No Control,Lost control,Unknown,645.5
229,43.633,-79.434,25 to 29,Wet,Rain,"Dark, artificial",Traffic Signal,Disobeyed Traffic Control,Normal,1623.75
230,43.633,-79.434,35 to 39,Dry,Clear,Daylight,No Control,Following too Close,Normal,1623.75
231,43.633,-79.434,40 to 44,Dry,Clear,Daylight,Traffic Signal,Failed to Yield Right of Way,Normal,1623.75
232,43.633,-79.434,50 to 54,Dry,Clear,"Dark, artificial",No Control,Failed to Yield Right of Way,Inattentive,1623.75
233,43.633,-79.427,unknown,Dry,Clear,Daylight,No Control,Failed to Yield Right of Way,Unknown,954.0
234,43.634,-79.567,35 to 39,Other,Other,Daylight,Traffic Signal,Improper Turn,Unknown,1556.0
235,43.634,-79.506,25 to 29,Dry,Clear,"Dark, artificial",No Control,Other,Fatigue,420.0
236,43.634,-79.472,55 to 59,Dry,Clear,Daylight,No Control,Lost control,Normal,1030.0
237,43.634,-79.471,20 to 24,Dry,Clear,Dark,No Control,Lost control,Unknown,834.0
238,43.634,-79.471,20 to 24,Wet,Rain,Dark,No Control,Lost control,"Ability Impaired, Alcohol",834.0
239,43.634,-79.471,35 to 39,Dry,Clear,Dark,No Control,Speed too Fast For Condition,Unknown,834.0
240,43.634,-79.47,30 to 34,Dry,Clear,"Dark, artificial",No Control,Lost control,Had Been Drinking,102.0
241,43.634,-79.438,20 to 24,Dry,Clear,Daylight,No Control,Improper Turn,Normal,454.0
242,43.634,-79.438,45 to 49,Dry,Clear,Dark,No Control,Lost control,Inattentive,454.0
243,43.634,-79.435,35 to 39,Dry,Clear,Dark,No Control,<Null>,<Null>,443.0
244,43.634,-79.425,35 to 39,Dry,Clear,"Dark, artificial",Traffic Signal,Lost control,"Ability Impaired, Alcohol",138.0
245,43.634,-79.421,35 to 39,Dry,Clear,Dark,No Control,Following too Close,Unknown,2350.0
